id,modulo_id,titulo,ordem,duracao_minutos,tipo
37,4,Implementando O prazer de realizar seus sonhos sem preocupação,7,17,Texto
38,4,Implementando O conforto de realizar seus sonhos de maneira eficaz,8,18,Texto
39,4,Implementando O prazer de conseguir de maneira eficaz,9,8,Texto
40,4,Como Funciona A simplicidade de conseguir sem preocupação,10,42,Vídeo
41,5,Implementando A certeza de concretizar seus projetos em estado puro,1,14,Texto
42,5,Implementando O prazer de inovar em estado puro,2,13,Vídeo
43,5,Introdução a A arte de atingir seus objetivos naturalmente,3,9,Quiz
44,5,Implementando A segurança de atingir seus objetivos em estado puro,4,8,Texto
45,5,Implementando A simplicidade de avançar mais facilmente,5,34,Vídeo
46,5,Implementando A possibilidade de concretizar seus projetos em estado puro,6,29,Vídeo
47,5,Implementando A liberdade de ganhar sem preocupação,7,15,Vídeo
48,5,Introdução a A segurança de realizar seus sonhos sem preocupação,8,7,Texto
49,5,Como Funciona O direito de conseguir com confiança,9,8,Texto
50,5,Implementando O prazer de conseguir simplesmente,10,26,Vídeo
51,6,Introdução a A arte de mudar mais facilmente,1,18,Vídeo
52,6,Como Funciona A vantagem de realizar seus sonhos com toda a tranquilidade,2,13,Texto
53,6,Introdução a A certeza de atingir seus objetivos em estado puro,3,20,Vídeo
54,6,Implementando A certeza de inovar com confiança,4,29,Vídeo
55,6,Implementando A simplicidade de ganhar mais facilmente,5,9,Vídeo
56,6,Introdução a A certeza de conseguir com toda a tranquilidade,6,13,Vídeo
57,6,Introdução a A arte de avançar em estado puro,7,21,Vídeo
58,6,Implementando A arte de avançar mais facilmente,8,21,Vídeo
59,6,Implementando A vantagem de inovar antes de tudo,9,14,Vídeo
60,6,Introdução a A liberdade de concretizar seus projetos com confiança,10,21,Vídeo
61,7,Como Funciona A certeza de atingir seus objetivos antes de tudo,1,9,Vídeo
62,7,Introdução a A segurança de atingir seus objetivos simplesmente,2,31,Vídeo
63,7,Implementando O conforto de inovar simplesmente,3,28,Vídeo
64,7,Como Funciona O conforto de mudar direto da fonte,4,37,Vídeo
65,7,Introdução a A possibilidade de mudar antes de tudo,5,16,Vídeo
66,7,Introdução a O poder de inovar naturalmente,6,6,Quiz
67,7,Introdução a O prazer de mudar com força total,7,38,Vídeo
68,7,Implementando A certeza de conseguir naturalmente,8,9,Texto
69,7,Implementando O poder de atingir seus objetivos em estado puro,9,37,Vídeo
70,7,Implementando A arte de mudar naturalmente,10,41,Vídeo
71,8,Introdução a O prazer de mudar naturalmente,1,38,Vídeo
72,8,Implementando O poder de avançar naturalmente,2,12,Texto
73,8,Como Funciona O poder de mudar de maneira eficaz,3,14,Texto
74,8,Como Funciona A possibilidade de mudar com confiança,4,7,Quiz
75,8,Introdução a A arte de avançar de maneira eficaz,5,12,Texto
76,8,Introdução a O poder de ganhar naturalmente,6,9,Quiz
77,8,Implementando A simplicidade de avançar com confiança,7,7,Quiz
78,8,Como Funciona A vantagem de evoluir antes de tudo,8,30,Vídeo
79,8,Introdução a O conforto de avançar com toda a tranquilidade,9,20,Vídeo
80,8,Introdução a A vantagem de conseguir com toda a tranquilidade,10,8,Texto
81,9,Implementando O prazer de evoluir sem preocupação,1,39,Vídeo
82,9,Como Funciona A vantagem de inovar com confiança,2,18,Texto
83,9,Implementando A simplicidade de avançar com força total,3,6,Quiz
84,9,Introdução a O poder de inovar direto da fonte,4,41,Vídeo
85,9,Como Funciona O conforto de ganhar mais facilmente,5,32,Vídeo
86,9,Introdução a A certeza de realizar seus sonhos direto da fonte,6,11,Vídeo
87,9,Introdução a A liberdade de ganhar com força total,7,9,Quiz
88,9,Como Funciona A vantagem de atingir seus objetivos sem preocupação,8,7,Quiz
89,9,Como Funciona O poder de concretizar seus projetos simplesmente,9,22,Vídeo
90,9,Como Funciona A certeza de realizar seus sonhos mais facilmente,10,24,Vídeo
91,10,Implementando A vantagem de mudar antes de tudo,1,38,Vídeo
92,10,Implementando A simplicidade de conseguir direto da fonte,2,20,Texto
93,10,Implementando O poder de ganhar com força total,3,6,Quiz
94,10,Introdução a A possibilidade de evoluir sem preocupação,4,12,Texto
95,10,Implementando A certeza de ganhar mais facilmente,5,33,Vídeo
96,10,Implementando A simplicidade de concretizar seus projetos mais rapidamente,6,22,Vídeo
97,10,Como Funciona A vantagem de realizar seus sonhos antes de tudo,7,42,Vídeo
98,10,Implementando A liberdade de realizar seus sonhos naturalmente,8,6,Texto
99,10,Introdução a A arte de concretizar seus projetos sem preocupação,9,31,Vídeo
100,10,Introdução a A possibilidade de evoluir mais rapidamente,10,15,Vídeo
101,11,Introdução a O conforto de atingir seus objetivos antes de tudo,1,10,Quiz
102,11,Implementando A liberdade de ganhar mais facilmente,2,41,Vídeo
103,11,Introdução a O prazer de evoluir de maneira eficaz,3,40,Vídeo
104,11,Como Funciona A arte de avançar com toda a tranquilidade,4,18,Texto
105,11,Como Funciona O poder de ganhar antes de tudo,5,18,Vídeo
106,11,Como Funciona O prazer de concretizar seus projetos antes de tudo,6,13,Texto
107,11,Introdução a A simplicidade de conseguir com força total,7,37,Vídeo
108,11,Introdução a A possibilidade de mudar antes de tudo,8,6,Quiz
109,12,Introdução a O conforto de ganhar de maneira eficaz,1,13,Texto
110,12,Introdução a A simplicidade de inovar simplesmente,2,5,Quiz
111,12,Introdução a A possibilidade de atingir seus objetivos naturalmente,3,31,Vídeo
112,12,Implementando A arte de realizar seus sonhos simplesmente,4,10,Vídeo
113,12,Como Funciona O conforto de evoluir em estado puro,5,20,Texto
114,12,Introdução a A certeza de atingir seus objetivos com força total,6,8,Quiz
115,12,Introdução a O direito de inovar mais rapidamente,7,5,Quiz
116,12,Implementando A certeza de evoluir de maneira eficaz,8,7,Texto
117,13,Implementando A simplicidade de atingir seus objetivos direto da fonte,1,16,Texto
118,13,Como Funciona A certeza de avançar simplesmente,2,5,Quiz
119,13,Implementando A segurança de concretizar seus projetos com toda a tranquilidade,3,10,Vídeo
120,13,Implementando O poder de evoluir de maneira eficaz,4,23,Vídeo
121,13,Como Funciona A possibilidade de concretizar seus projetos antes de tudo,5,20,Texto
122,13,Introdução a A liberdade de ganhar com força total,6,32,Vídeo
123,13,Introdução a A simplicidade de concretizar seus projetos naturalmente,7,13,Vídeo
124,13,Introdução a A segurança de evoluir direto da fonte,8,18,Texto
125,14,Introdução a O direito de conseguir com toda a tranquilidade,1,28,Vídeo
126,14,Como Funciona A simplicidade de concretizar seus projetos com toda a tranquilidade,2,15,Vídeo
127,14,Implementando A possibilidade de ganhar com confiança,3,12,Vídeo
128,14,Como Funciona A certeza de inovar antes de tudo,4,15,Vídeo
129,14,Implementando O poder de ganhar antes de tudo,5,22,Vídeo
130,14,Implementando O poder de conseguir simplesmente,6,16,Vídeo
131,14,Como Funciona O poder de atingir seus objetivos mais rapidamente,7,28,Vídeo
132,14,Como Funciona A vantagem de ganhar de maneira eficaz,8,6,Texto
133,15,Implementando A arte de realizar seus sonhos mais rapidamente,1,17,Vídeo
134,15,Introdução a A certeza de conseguir naturalmente,2,13,Vídeo
135,15,Introdução a A certeza de atingir seus objetivos antes de tudo,3,19,Texto
136,15,Como Funciona A liberdade de evoluir de maneira eficaz,4,9,Quiz
137,15,Como Funciona A simplicidade de mudar mais rapidamente,5,29,Vídeo
138,15,Introdução a A segurança de conseguir sem preocupação,6,39,Vídeo
139,15,Introdução a O conforto de evoluir direto da fonte,7,19,Texto
140,15,Introdução a O conforto de evoluir simplesmente,8,13,Vídeo
141,16,Introdução a A certeza de atingir seus objetivos com toda a tranquilidade,1,10,Vídeo
142,16,Implementando O direito de concretizar seus projetos com toda a tranquilidade,2,24,Vídeo
143,16,Como Funciona A segurança de ganhar mais rapidamente,3,14,Quiz
144,16,Introdução a A simplicidade de concretizar seus projetos direto da fonte,4,41,Vídeo
145,16,Implementando O prazer de avançar de maneira eficaz,5,24,Vídeo
146,16,Implementando A simplicidade de atingir seus objetivos mais rapidamente,6,45,Vídeo
147,16,Implementando A vantagem de evoluir antes de tudo,7,10,Quiz
148,16,Introdução a A arte de realizar seus sonhos sem preocupação,8,14,Quiz
149,16,Como Funciona O prazer de avançar direto da fonte,9,15,Texto
150,16,Introdução a A segurança de conseguir de maneira eficaz,10,12,Quiz
151,17,Introdução a A liberdade de realizar seus sonhos sem preocupação,1,16,Texto
152,17,Como Funciona A arte de concretizar seus projetos direto da fonte,2,16,Vídeo
153,17,Introdução a A segurança de mudar naturalmente,3,45,Vídeo
154,17,Implementando O prazer de inovar mais rapidamente,4,9,Quiz
155,17,Introdução a O conforto de realizar seus sonhos mais rapidamente,5,9,Vídeo
156,17,Como Funciona A segurança de inovar com força total,6,17,Vídeo
157,17,Como Funciona A liberdade de atingir seus objetivos direto da fonte,7,17,Texto
158,17,Como Funciona O prazer de evoluir de maneira eficaz,8,36,Vídeo
159,17,Como Funciona A arte de mudar naturalmente,9,28,Vídeo
160,17,Como Funciona A arte de avançar simplesmente,10,23,Vídeo
161,17,Como Funciona A certeza de concretizar seus projetos com força total,11,19,Vídeo
162,17,Implementando A arte de concretizar seus projetos antes de tudo,12,7,Texto
163,18,Implementando A liberdade de inovar com toda a tranquilidade,1,19,Vídeo
164,18,Como Funciona A certeza de ganhar direto da fonte,2,40,Vídeo
165,18,Implementando A certeza de evoluir sem preocupação,3,24,Vídeo
166,18,Como Funciona A certeza de realizar seus sonhos antes de tudo,4,15,Vídeo
167,18,Introdução a O direito de mudar direto da fonte,5,30,Vídeo
168,18,Introdução a O direito de ganhar sem preocupação,6,12,Texto
169,18,Introdução a A segurança de conseguir em estado puro,7,20,Vídeo
170,18,Introdução a A segurança de avançar antes de tudo,8,10,Quiz
171,18,Introdução a A simplicidade de concretizar seus projetos antes de tudo,9,17,Vídeo
172,18,Como Funciona A segurança de inovar com força total,10,15,Quiz
173,18,Introdução a O poder de realizar seus sonhos direto da fonte,11,23,Vídeo
174,18,Introdução a A vantagem de concretizar seus projetos simplesmente,12,11,Vídeo
175,19,Como Funciona A vantagem de avançar de maneira eficaz,1,14,Quiz
176,19,Implementando A arte de concretizar seus projetos direto da fonte,2,9,Texto
177,19,Implementando O direito de realizar seus sonhos com confiança,3,11,Quiz
178,19,Introdução a A certeza de avançar sem preocupação,4,10,Vídeo
179,19,Como Funciona O prazer de avançar simplesmente,5,21,Vídeo
180,19,Como Funciona O conforto de concretizar seus projetos antes de tudo,6,13,Quiz
181,19,Implementando O prazer de ganhar naturalmente,7,8,Quiz
182,19,Como Funciona A liberdade de avançar sem preocupação,8,37,Vídeo
183,19,Como Funciona A vantagem de inovar mais facilmente,9,15,Vídeo
184,19,Implementando O poder de avançar com confiança,10,44,Vídeo
185,19,Introdução a A liberdade de ganhar com confiança,11,26,Vídeo
186,19,Introdução a A vantagem de atingir seus objetivos em estado puro,12,16,Texto
187,20,Introdução a O poder de evoluir com força total,1,37,Vídeo
188,20,Introdução a A certeza de atingir seus objetivos antes de tudo,2,28,Vídeo
189,20,Como Funciona O prazer de ganhar simplesmente,3,44,Vídeo
190,20,Introdução a A certeza de concretizar seus projetos em estado puro,4,12,Texto
191,20,Como Funciona A vantagem de evoluir sem preocupação,5,12,Texto
192,20,Introdução a A liberdade de inovar mais facilmente,6,13,Vídeo
193,20,Introdução a A possibilidade de inovar de maneira eficaz,7,30,Vídeo
194,20,Implementando O poder de conseguir direto da fonte,8,24,Vídeo
195,20,Implementando A segurança de avançar mais rapidamente,9,35,Vídeo
196,20,Implementando A liberdade de inovar naturalmente,10,14,Texto
197,20,Como Funciona A vantagem de ganhar mais facilmente,11,7,Texto
198,20,Implementando A arte de atingir seus objetivos simplesmente,12,9,Quiz
199,20,Implementando A possibilidade de inovar com confiança,13,27,Vídeo
200,20,Implementando A arte de evoluir de maneira eficaz,14,7,Texto
201,21,Como Funciona A segurança de ganhar naturalmente,1,34,Vídeo
202,21,Implementando O conforto de inovar antes de tudo,2,16,Vídeo
203,21,Introdução a A vantagem de mudar mais rapidamente,3,41,Vídeo
204,21,Introdução a A possibilidade de mudar de maneira eficaz,4,25,Vídeo
205,21,Introdução a A liberdade de realizar seus sonhos em estado puro,5,23,Vídeo
206,21,Introdução a A certeza de inovar naturalmente,6,6,Texto
207,21,Como Funciona A possibilidade de mudar sem preocupação,7,33,Vídeo
208,21,Introdução a A simplicidade de mudar com toda a tranquilidade,8,17,Vídeo
209,22,Introdução a A simplicidade de ganhar antes de tudo,1,36,Vídeo
210,22,Implementando A certeza de mudar simplesmente,2,19,Vídeo
211,22,Implementando A arte de mudar sem preocupação,3,31,Vídeo
212,22,Implementando O poder de realizar seus sonhos com força total,4,7,Quiz
213,22,Como Funciona A simplicidade de atingir seus objetivos de maneira eficaz,5,37,Vídeo
214,22,Introdução a A vantagem de mudar simplesmente,6,14,Quiz
215,22,Introdução a A simplicidade de avançar direto da fonte,7,19,Texto
216,22,Implementando O conforto de ganhar com confiança,8,5,Texto
217,23,Implementando A simplicidade de atingir seus objetivos com confiança,1,19,Texto
218,23,Como Funciona A simplicidade de atingir seus objetivos antes de tudo,2,14,Vídeo
219,23,Implementando O prazer de conseguir em estado puro,3,6,Texto
220,23,Como Funciona A liberdade de realizar seus sonhos antes de tudo,4,5,Texto
221,23,Implementando O direito de evoluir de maneira eficaz,5,41,Vídeo
222,23,Implementando O conforto de mudar de maneira eficaz,6,30,Vídeo
223,23,Implementando A certeza de conseguir em estado puro,7,25,Vídeo
224,23,Implementando A arte de concretizar seus projetos mais facilmente,8,17,Vídeo
225,24,Como Funciona O conforto de conseguir antes de tudo,1,20,Vídeo
226,24,Como Funciona O poder de realizar seus sonhos antes de tudo,2,18,Vídeo
227,24,Como Funciona A possibilidade de ganhar de maneira eficaz,3,18,Texto
228,24,Como Funciona O conforto de evoluir com força total,4,11,Quiz
229,24,Introdução a A simplicidade de realizar seus sonhos direto da fonte,5,28,Vídeo
230,24,Implementando A certeza de avançar direto da fonte,6,7,Texto
231,24,Como Funciona O poder de ganhar direto da fonte,7,36,Vídeo
232,24,Introdução a A segurança de conseguir mais rapidamente,8,23,Vídeo
233,25,Introdução a A vantagem de mudar naturalmente,1,12,Quiz
234,25,Como Funciona A possibilidade de realizar seus sonhos sem preocupação,2,23,Vídeo
235,25,Implementando O poder de avançar com confiança,3,6,Quiz
236,25,Como Funciona A arte de atingir seus objetivos mais facilmente,4,11,Quiz
237,25,Implementando A simplicidade de evoluir com força total,5,16,Texto
238,25,Como Funciona A certeza de evoluir direto da fonte,6,6,Texto
239,25,Como Funciona O conforto de conseguir simplesmente,7,12,Texto
240,25,Introdução a A possibilidade de atingir seus objetivos mais facilmente,8,42,Vídeo
241,26,Introdução a A segurança de avançar com toda a tranquilidade,1,41,Vídeo
242,26,Implementando O prazer de inovar mais rapidamente,2,14,Quiz
243,26,Implementando A vantagem de ganhar com toda a tranquilidade,3,6,Quiz
244,26,Como Funciona A segurança de mudar simplesmente,4,36,Vídeo
245,26,Implementando O prazer de conseguir mais rapidamente,5,29,Vídeo
246,26,Como Funciona O poder de concretizar seus projetos simplesmente,6,8,Texto
247,26,Como Funciona A liberdade de evoluir com confiança,7,37,Vídeo
248,26,Implementando A segurança de conseguir mais facilmente,8,45,Vídeo
249,26,Introdução a A possibilidade de inovar de maneira eficaz,9,25,Vídeo
250,26,Implementando A segurança de atingir seus objetivos com força total,10,18,Texto
251,27,Introdução a A certeza de ganhar mais facilmente,1,21,Vídeo
252,27,Introdução a O direito de realizar seus sonhos antes de tudo,2,7,Texto
253,27,Implementando A segurança de inovar mais facilmente,3,33,Vídeo
254,27,Introdução a A vantagem de avançar com força total,4,22,Vídeo
255,27,Introdução a A vantagem de conseguir com toda a tranquilidade,5,8,Vídeo
256,27,Introdução a A certeza de realizar seus sonhos sem preocupação,6,35,Vídeo
257,27,Introdução a A simplicidade de ganhar de maneira eficaz,7,8,Quiz
258,27,Implementando O poder de evoluir com força total,8,18,Texto
259,27,Introdução a A segurança de ganhar naturalmente,9,14,Texto
260,27,Introdução a A simplicidade de inovar de maneira eficaz,10,19,Texto
261,27,Implementando A arte de mudar com confiança,11,26,Vídeo
262,27,Implementando A liberdade de evoluir com confiança,12,29,Vídeo
263,27,Introdução a O conforto de atingir seus objetivos em estado puro,13,34,Vídeo
264,27,Como Funciona O conforto de mudar sem preocupação,14,10,Quiz
265,27,Implementando A simplicidade de realizar seus sonhos antes de tudo,15,29,Vídeo
266,27,Introdução a A certeza de ganhar com confiança,16,25,Vídeo
267,28,Como Funciona A simplicidade de atingir seus objetivos antes de tudo,1,15,Quiz
268,28,Como Funciona A vantagem de realizar seus sonhos mais facilmente,2,24,Vídeo
269,28,Implementando O direito de avançar simplesmente,3,38,Vídeo
270,28,Como Funciona O direito de concretizar seus projetos sem preocupação,4,18,Vídeo
271,28,Introdução a A liberdade de mudar mais rapidamente,5,6,Texto
272,28,Como Funciona A arte de realizar seus sonhos mais rapidamente,6,7,Quiz
273,28,Como Funciona O poder de inovar com força total,7,41,Vídeo
274,28,Implementando O direito de ganhar simplesmente,8,39,Vídeo
275,28,Como Funciona O conforto de conseguir sem preocupação,9,10,Vídeo
276,28,Implementando A vantagem de conseguir mais rapidamente,10,38,Vídeo
277,28,Introdução a A simplicidade de mudar simplesmente,11,40,Vídeo
278,28,Como Funciona A arte de realizar seus sonhos antes de tudo,12,45,Vídeo
279,28,Como Funciona A liberdade de inovar mais facilmente,13,18,Vídeo
280,28,Implementando A liberdade de ganhar simplesmente,14,13,Quiz
281,28,Introdução a O conforto de mudar sem preocupação,15,21,Vídeo
282,28,Implementando A segurança de mudar mais facilmente,16,45,Vídeo
283,29,Implementando A certeza de atingir seus objetivos naturalmente,1,12,Quiz
284,29,Introdução a O prazer de conseguir mais rapidamente,2,12,Texto
285,29,Implementando A simplicidade de concretizar seus projetos direto da fonte,3,34,Vídeo
286,29,Implementando A possibilidade de avançar com força total,4,14,Texto
287,29,Implementando O prazer de conseguir sem preocupação,5,24,Vídeo
288,29,Introdução a O direito de mudar simplesmente,6,28,Vídeo
289,29,Introdução a O prazer de inovar mais rapidamente,7,11,Texto
290,29,Introdução a O direito de mudar com força total,8,12,Vídeo
291,29,Como Funciona A possibilidade de atingir seus objetivos de maneira eficaz,9,19,Texto
292,29,Como Funciona A segurança de atingir seus objetivos com confiança,10,12,Texto
293,29,Introdução a A possibilidade de mudar mais rapidamente,11,11,Vídeo
294,29,Como Funciona O prazer de atingir seus objetivos direto da fonte,12,20,Vídeo
295,29,Implementando A certeza de inovar antes de tudo,13,11,Quiz
296,29,Implementando O prazer de ganhar mais facilmente,14,8,Vídeo
297,29,Implementando A arte de concretizar seus projetos sem preocupação,15,22,Vídeo
298,29,Introdução a A vantagem de mudar antes de tudo,16,24,Vídeo
299,29,Introdução a O direito de concretizar seus projetos com toda a tranquilidade,17,7,Texto
300,29,Introdução a A possibilidade de mudar de maneira eficaz,18,30,Vídeo
301,30,Como Funciona A arte de realizar seus sonhos simplesmente,1,12,Texto
302,30,Implementando O conforto de atingir seus objetivos com confiança,2,10,Quiz
303,30,Como Funciona A arte de realizar seus sonhos com toda a tranquilidade,3,5,Quiz
304,30,Introdução a O prazer de mudar com confiança,4,39,Vídeo
305,30,Introdução a O prazer de ganhar mais facilmente,5,44,Vídeo
306,30,Como Funciona O conforto de inovar em estado puro,6,42,Vídeo
307,30,Introdução a A arte de conseguir com toda a tranquilidade,7,17,Texto
308,30,Introdução a A arte de mudar com toda a tranquilidade,8,32,Vídeo
309,30,Introdução a A simplicidade de evoluir sem preocupação,9,16,Texto
310,30,Como Funciona A simplicidade de inovar com confiança,10,17,Vídeo
311,30,Como Funciona A simplicidade de ganhar direto da fonte,11,25,Vídeo
312,30,Introdução a A simplicidade de atingir seus objetivos simplesmente,12,26,Vídeo
313,31,Implementando A possibilidade de inovar naturalmente,1,13,Texto
314,31,Como Funciona O conforto de inovar simplesmente,2,19,Texto
315,31,Introdução a O conforto de evoluir em estado puro,3,20,Texto
316,31,Introdução a A simplicidade de avançar sem preocupação,4,29,Vídeo
317,31,Como Funciona A possibilidade de avançar antes de tudo,5,18,Texto
318,31,Implementando A possibilidade de realizar seus sonhos naturalmente,6,19,Vídeo
319,31,Como Funciona O direito de ganhar com toda a tranquilidade,7,21,Vídeo
320,31,Introdução a A simplicidade de evoluir mais rapidamente,8,14,Texto
321,31,Como Funciona O direito de conseguir com confiança,9,13,Quiz
322,31,Introdução a A simplicidade de concretizar seus projetos mais facilmente,10,8,Texto
323,31,Implementando A segurança de avançar em estado puro,11,28,Vídeo
324,31,Como Funciona O poder de evoluir de maneira eficaz,12,10,Vídeo
325,32,Introdução a A segurança de conseguir direto da fonte,1,12,Quiz
326,32,Introdução a O conforto de conseguir mais facilmente,2,33,Vídeo
327,32,Implementando O conforto de concretizar seus projetos simplesmente,3,24,Vídeo
328,32,Implementando A liberdade de atingir seus objetivos naturalmente,4,26,Vídeo
329,32,Introdução a A possibilidade de evoluir em estado puro,5,20,Texto
330,32,Implementando A certeza de mudar com toda a tranquilidade,6,15,Texto
331,32,Como Funciona O prazer de concretizar seus projetos direto da fonte,7,9,Texto
332,32,Como Funciona A segurança de conseguir em estado puro,8,33,Vídeo
333,32,Introdução a O prazer de concretizar seus projetos mais facilmente,9,15,Texto
334,32,Como Funciona A arte de evoluir mais rapidamente,10,32,Vídeo
335,32,Introdução a O direito de inovar em estado puro,11,43,Vídeo
336,32,Introdução a O poder de concretizar seus projetos antes de tudo,12,17,Vídeo
337,33,Implementando O poder de concretizar seus projetos sem preocupação,1,10,Vídeo
338,33,Implementando A certeza de concretizar seus projetos de maneira eficaz,2,40,Vídeo
339,33,Como Funciona A vantagem de atingir seus objetivos simplesmente,3,20,Texto
340,33,Implementando O poder de realizar seus sonhos com toda a tranquilidade,4,6,Quiz
341,33,Como Funciona O conforto de conseguir mais facilmente,5,39,Vídeo
342,33,Implementando A possibilidade de realizar seus sonhos em estado puro,6,44,Vídeo
343,33,Introdução a A simplicidade de ganhar naturalmente,7,18,Vídeo
344,33,Como Funciona A segurança de avançar sem preocupação,8,37,Vídeo
345,33,Introdução a A arte de atingir seus objetivos naturalmente,9,33,Vídeo
346,33,Implementando A liberdade de ganhar mais facilmente,10,16,Texto
347,33,Introdução a A possibilidade de evoluir simplesmente,11,18,Vídeo
348,33,Introdução a O poder de concretizar seus projetos mais rapidamente,12,14,Quiz
349,33,Introdução a A arte de conseguir simplesmente,13,20,Vídeo
350,33,Como Funciona A vantagem de inovar sem preocupação,14,35,Vídeo
351,34,Introdução a A vantagem de evoluir em estado puro,1,18,Vídeo
352,34,Introdução a O prazer de concretizar seus projetos com força total,2,32,Vídeo
353,34,Implementando A possibilidade de mudar mais rapidamente,3,9,Vídeo
354,34,Implementando O prazer de avançar mais facilmente,4,15,Vídeo
355,34,Como Funciona A arte de mudar com força total,5,23,Vídeo
356,34,Introdução a O prazer de ganhar direto da fonte,6,33,Vídeo
357,34,Introdução a A segurança de mudar direto da fonte,7,10,Quiz
358,34,Como Funciona A liberdade de evoluir mais rapidamente,8,6,Texto
359,34,Implementando A arte de conseguir com força total,9,28,Vídeo
360,34,Implementando O prazer de conseguir simplesmente,10,33,Vídeo
361,34,Implementando O poder de avançar antes de tudo,11,33,Vídeo
362,34,Implementando A liberdade de avançar com força total,12,38,Vídeo
363,34,Como Funciona O conforto de atingir seus objetivos naturalmente,13,36,Vídeo
364,34,Como Funciona A possibilidade de realizar seus sonhos com toda a tranquilidade,14,13,Texto
365,34,Introdução a O prazer de realizar seus sonhos simplesmente,15,10,Vídeo
366,34,Implementando A vantagem de conseguir com toda a tranquilidade,16,18,Texto
367,35,Introdução a O prazer de concretizar seus projetos com força total,1,31,Vídeo
368,35,Introdução a A segurança de atingir seus objetivos em estado puro,2,12,Texto
369,35,Como Funciona A liberdade de realizar seus sonhos com força total,3,34,Vídeo
370,35,Introdução a A possibilidade de mudar com toda a tranquilidade,4,20,Texto
371,35,Como Funciona O poder de avançar sem preocupação,5,29,Vídeo
372,35,Como Funciona A simplicidade de inovar antes de tudo,6,26,Vídeo
373,35,Implementando A certeza de conseguir com confiança,7,15,Quiz
374,35,Implementando O conforto de concretizar seus projetos sem preocupação,8,7,Texto
375,35,Como Funciona A vantagem de realizar seus sonhos com toda a tranquilidade,9,37,Vídeo
376,35,Como Funciona A vantagem de conseguir direto da fonte,10,14,Vídeo
377,35,Implementando A liberdade de mudar sem preocupação,11,33,Vídeo
378,35,Introdução a A possibilidade de inovar mais rapidamente,12,25,Vídeo
379,35,Implementando A arte de mudar mais rapidamente,13,42,Vídeo
380,35,Implementando O poder de mudar simplesmente,14,12,Texto
381,35,Como Funciona A certeza de conseguir de maneira eficaz,15,10,Quiz
382,35,Como Funciona O direito de conseguir com força total,16,18,Vídeo
383,36,Introdução a O prazer de atingir seus objetivos naturalmente,1,29,Vídeo
384,36,Introdução a O prazer de realizar seus sonhos mais facilmente,2,37,Vídeo
385,36,Implementando A liberdade de evoluir simplesmente,3,13,Vídeo
386,36,Introdução a A arte de conseguir de maneira eficaz,4,14,Vídeo
387,36,Introdução a A simplicidade de atingir seus objetivos com força total,5,11,Quiz
388,36,Como Funciona O prazer de avançar direto da fonte,6,10,Texto
